"SMILES","ID","is_active","SlogP","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumRings"
"Cn1ccnc1Sc2ccc(cc2Cl)Nc3c4cc(c(cc4ncc3C#N)OCCCN5CCOCC5)OC","168691",1,5.497880000000005,564.171037468,9,1,10,5
"C[C@@]12[C@@H]([C@@H](CC(O1)n3c4ccccc4c5c3c6n2c7ccccc7c6c8c5C(=O)NC8)NC)OC","86358",1,4.354000000000004,466.20049069199996,7,2,2,8
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4cccc5c4OC(O5)(F)F","575087",1,4.962020000000002,527.11718824,9,4,7,5
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4cccc5c4OCO5","575065",1,4.369220000000002,491.13603186399996,9,4,7,5
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4cccc5c4CCC5","575047",1,5.129220000000003,487.177502752,7,4,7,5
"CCc1ccccc1Nc2ncc(c(n2)c3cc([nH]c3)C(=O)N[C@H](CO)c4cccc(c4)Cl)C","575012",1,5.202920000000004,475.17750275199995,7,4,8,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4ccc(cc4Cl)F","574947",1,5.433020000000003,499.09780846,7,4,7,4
"Cc1cccc(c1C)Nc2ncc(c(n2)c3cc([nH]c3)C(=O)N[C@H](CO)c4cccc(c4)Cl)C","574890",1,5.257360000000004,475.17750275199995,7,4,7,4
"Cc1ccccc1Nc2ncc(c(n2)c3cc([nH]c3)C(=O)N[C@H](CO)c4cccc(c4)Cl)C","574823",1,4.948940000000004,461.16185268799995,7,4,7,4
"Cc1cccc(c1)[C@@H](CO)NC(=O)c2cc(c[nH]2)c3c(cnc(n3)Nc4ccccc4)C","574810",1,4.295540000000003,427.2008250400001,7,4,7,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4ccccc4","574805",1,4.640520000000002,447.146202624,7,4,7,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)F)Nc4ccccc4","574889",1,4.126220000000002,431.175753164,7,4,7,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3ccccc3)Nc4ccccc4F","574780",1,4.126220000000002,431.175753164,7,4,7,4
"Cc1ccccc1Nc2ncc(c(n2)c3cc([nH]c3)C(=O)N[C@H](CO)c4ccccc4)C","574880",1,4.295540000000002,427.20082504,7,4,7,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3ccccc3)Nc4ccccc4Cl","574838",1,4.640520000000003,447.146202624,7,4,7,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3ccccc3)Nc4ccccc4","574809",1,3.9871200000000018,413.18517497600004,7,4,7,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4cccc(c4OC)OC","574964",1,4.657720000000002,507.16733199199996,9,4,9,4
"CCc1ccccc1Nc2ncc(c(n2)c3cc([nH]c3)C(=O)N[C@H](CO)c4ccccc4)C","574881",1,4.549520000000002,441.216475104,7,4,8,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3ccccc3)Nc4ccccc4O","574870",1,3.692720000000002,429.180089596,8,5,7,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3ccccc3)Nc4ccccc4C(F)(F)F","574822",1,5.005920000000002,481.172559604,7,4,7,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4ccc(cc4F)Cl","574963",1,5.4330200000000035,499.09780846,7,4,7,4
"Cc1cc(ccc1Nc2ncc(c(n2)c3cc([nH]c3)C(=O)N[C@H](CO)c4cccc(c4)Cl)C)Cl","574936",1,5.602340000000003,495.122880336,7,4,7,4
"c1c\2c([nH]c1Br)C(=O)NCC/C2=C\3/C(=O)NC(=N3)N","250364",1,0.06629999999999997,323.00178666000005,7,5,0,3
"c1c\2c([nH]c1Br)C(=O)NCC/C2=C/3\C(=O)N=C(N3)N","307979",1,0.06629999999999997,323.00178666000005,7,5,0,3
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NC(CO)c4ccc(c(c4)Cl)F","370070",1,4.981100000000003,458.071259364,6,4,6,4
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NC(CO)c4cc(cc(c4)Cl)Cl","370069",1,5.495400000000003,474.041708824,6,4,6,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4cccc5c4CCCC5","575055",1,5.519320000000003,501.193152816,7,4,7,5
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NC(CO)c4ccc(cc4)Cl","370040",1,4.842000000000003,440.080681176,6,4,6,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4cccc5c4OCCO5","574915",1,4.411720000000002,505.15168192799996,9,4,7,5
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NC(CO)c4ccc(c(c4)F)F","370065",1,4.466800000000003,442.100809904,6,4,6,4
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NC(CO)c4cccc(c4)F","370057",1,4.327700000000002,424.110231716,6,4,6,4
"Cc1cnc(nc1c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl)Nc4cccc(c4C)F","574905",1,5.088040000000002,479.15243087600004,7,4,7,4
"c1ccc(cc1)[C@@H](CO)NC(=O)c2cc(c[nH]2)c3c(cn[nH]3)c4cccc(c4)Cl","370099",1,4.188600000000002,406.1196535280001,6,4,6,4
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NCc4ccc(c(c4)F)F","370039",1,4.9334000000000024,412.09024522000004,5,3,5,4
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NC(CO)c4ccc(cc4)C(F)(F)F","370046",1,5.207400000000003,474.107038156,6,4,6,4
"Cn1cc(c2c1nccc2c3ccc(cc3)C(=O)NCCO)/C=C\4/C(=O)c5c(cccc5O4)O","620576",1,3.2842000000000016,455.1481207719999,8,3,5,5
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NC(CO)c4ccc(cc4)F","370035",1,4.327700000000002,424.110231716,6,4,6,4
"c1ccc(cc1)CNC(=O)c2cc(c[nH]2)c3c(cn[nH]3)c4cccc(c4)Cl","370129",1,4.6552000000000024,376.10908884400004,5,3,5,4
"c1ccc2c(c1)C3=C(CCNC(=O)C3=N2)c4c([nH]c(n4)N)O","201833",1,1.2142999999999997,295.106924656,7,5,1,4
"Cc1c2cc(c(cc2oc(=O)c1Cc3ccccc3)OC(=O)N(C)C)Cl","126856",1,4.406020000000003,371.09243573599997,5,0,3,3
"C[C@H](c1ccccc1)NC(=O)c2cc(c[nH]2)c3c(cn[nH]3)c4cccc(c4)Cl","370068",1,5.216200000000002,390.12473890800004,5,3,5,4
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)NCc4ccncc4","370032",1,4.050200000000002,377.10433781200004,6,3,5,4
"c1ccc(cc1)CONC(=O)c2cc(c[nH]2)c3c(cn[nH]3)c4cccc(c4)Cl","370062",1,4.586800000000003,392.104003464,6,3,6,4
"Cc1c2ccc(cc2oc(=O)c1Cc3ccc(cc3)F)OC(=O)N(C)C","127465",1,3.891720000000003,355.121986276,5,0,3,3
"c1cc(cc(c1)Cl)c2cn[nH]c2c3cc([nH]c3)C(=O)N4CCCC4","370082",1,3.9612000000000025,340.10908884400004,5,2,3,4
"CC1CNC(=O)c2c1c3cc(ccc3[nH]2)C(=O)Nc4cccnc4","412025",1,2.6621000000000006,320.127325752,6,3,2,4
"CC(=O)N1CCC(CC1)Nc2ncc3c(n2)-c4c(c(nn4C)C(=O)N)CC3","603516",1,0.49739999999999995,369.19132297600004,9,3,3,4
